"Year,month",region,Avg_leads
2019-11,Perlis,3003.5713522446
2019-11,Putrajaya,4759.209873285
2019-11,Sabah,43755.54618324813
2019-11,Sarawak,17147.206726980465
2019-11,Selangor,268496.59460283536
2019-11,Terengganu,23322.323845435334
2019-12,Johor,86687.97998439756
2019-12,Kedah,37189.28563304935
2019-12,Kelantan,43137.774118763016
2019-12,Kuala Lumpur,160901.35036986196
2019-12,Labuan,451.6891987221935
2019-12,Melaka,27467.49869163607
2019-12,N. Sembilan,29062.722695565422
2019-12,Pahang,22911.75176754316
2019-12,Penang,62021.48320604865
2019-12,Perak,35281.884058919546
2019-12,Perlis,3158.0878539820637
2019-12,Putrajaya,4951.907375371355
2019-12,Sabah,42461.648361253094
2019-12,Sarawak,16985.017522914968
2019-12,Selangor,265469.9513310403
2019-12,Terengganu,25231.446577357103
2020-01,Johor,84395.24830047543
2020-01,Kedah,37024.867590625225
2020-01,Kelantan,41967.47022956296
2020-01,Kuala Lumpur,154624.15461628907
2020-01,Labuan,446.63779644967747
2020-01,Melaka,25732.040465977483
2020-01,N. Sembilan,30296.628229531616
2020-01,Pahang,22419.041209918323
2020-01,Penang,59836.52831827006
2020-01,Perak,35124.33946025413
2020-01,Perlis,2916.983220861096
2020-01,Putrajaya,5202.627968160324
2020-01,Sabah,41487.38942391123
2020-01,Sarawak,15935.994710661998
2020-01,Selangor,264442.95851777337
2020-01,Terengganu,24679.17742524684
2020-02,Johor,85048.35146398544
2020-02,Kedah,34338.828398126345
2020-02,Kelantan,39322.125726434206
2020-02,Kuala Lumpur,156739.4694375403
2020-02,Labuan,448.4914040366206
2020-02,Melaka,25137.602838715036
2020-02,N. Sembilan,28380.900786531725
2020-02,Pahang,21435.481962939863
2020-02,Penang,64660.84495953365
2020-02,Perak,32539.348829254202
2020-02,Perlis,2865.108696648621
2020-02,Putrajaya,5049.441100174689
2020-02,Sabah,43282.13179415731
2020-02,Sarawak,17336.864173826
2020-02,Selangor,262332.98881217156
2020-02,Terengganu,23595.78475035448
2020-03,Johor,67785.58090370806
2020-03,Kedah,28757.54415741226
2020-03,Kelantan,34226.024551411676
2020-03,Kuala Lumpur,124242.66388914123
2020-03,Labuan,372.962926946129
2020-03,Melaka,20634.757407440262
2020-03,N. Sembilan,23025.4500990582
2020-03,Pahang,19044.43074387013
2020-03,Penang,51875.13088376161
2020-03,Perak,27952.549703216253
2020-03,Perlis,2675.1612842784516
2020-03,Putrajaya,3845.4569823223874
2020-03,Sabah,33197.86297555252
2020-03,Sarawak,13823.278177160713
2020-03,Selangor,205505.97907259347
2020-03,Terengganu,19513.385871783546
2020-04,Johor,59306.92436679806
2020-04,Kedah,30911.484367892135
2020-04,Kelantan,40614.40087332674
2020-04,Kuala Lumpur,94946.40803063441
2020-04,Labuan,368.83465387613325
2020-04,Melaka,22437.471551956267
2020-04,N. Sembilan,20290.557223616535
2020-04,Pahang,19410.067166608067
2020-04,Penang,44373.77226062934
2020-04,Perak,28045.1185692938
2020-04,Perlis,3121.9412732558667
2020-04,Putrajaya,3304.9041238508
2020-04,Sabah,32728.682800150666
2020-04,Sarawak,13336.365658634999
2020-04,Selangor,162256.2930737304
2020-04,Terengganu,21546.289642926862
2020-05,Johor,81614.52825786207
2020-05,Kedah,38492.97214747174
2020-05,Kelantan,48816.407892762836
2020-05,Kuala Lumpur,141330.70774475895
2020-05,Labuan,380.1054754967097
2020-05,Melaka,27165.683840051097
2020-05,N. Sembilan,29861.693756000255
2020-05,Pahang,22449.236648235426
2020-05,Penang,61962.38138312329
2020-05,Perak,35069.374630728445
2020-05,Perlis,3016.5235258105154
2020-05,Putrajaya,4530.8704153983235
2020-05,Sabah,40961.815729769034
2020-05,Sarawak,16418.63181812974
2020-05,Selangor,252724.1608281627
2020-05,Terengganu,25147.063905723095
2020-06,Johor,96416.32134072013
2020-06,Kedah,43952.468391638795
2020-06,Kelantan,51602.898339314735
2020-06,Kuala Lumpur,171728.55630635415
2020-06,Labuan,440.5299495604
2020-06,Melaka,31124.621120835807
2020-06,N. Sembilan,35425.39626885334
2020-06,Pahang,25277.253359058464
2020-06,Penang,74721.40364485527
2020-06,Perak,41216.566578660335
2020-06,Perlis,3578.6673239977326
2020-06,Putrajaya,5630.373240620067
2020-06,Sabah,45697.34215253574
2020-06,Sarawak,17920.683273478135
2020-06,Selangor,316016.64347593446
2020-06,Terengganu,27736.837335483404
2020-07,Johor,83363.55664362178
2020-07,Kedah,36277.76989169361
2020-07,Kelantan,41286.537397620064
2020-07,Kuala Lumpur,156088.2339834589
2020-07,Labuan,408.50784866922584
2020-07,Melaka,26339.054537533677
2020-07,N. Sembilan,31872.70639612516
2020-07,Pahang,21728.555078768513
2020-07,Penang,69125.0514880992
2020-07,Perak,36749.28039363488
2020-07,Perlis,3074.877539315129
2020-07,Putrajaya,4536.569172341161
2020-07,Sabah,40966.735323944966
2020-07,Sarawak,16628.70351981474
2020-07,Selangor,278906.3399349296
2020-07,Terengganu,22613.694845599937
2020-08,Johor,81381.16912803809
2020-08,Kedah,35664.83433954697
2020-08,Kelantan,41029.316833386845
2020-08,Kuala Lumpur,148989.4118527609
2020-08,Labuan,426.66681575493544
2020-08,Melaka,25763.601648108164
2020-08,N. Sembilan,30809.81890626465
2020-08,Pahang,22126.917531466257
2020-08,Penang,66814.46374303738
2020-08,Perak,35395.500481106166
2020-08,Perlis,2946.3682659161286
2020-08,Putrajaya,4447.00329277042
2020-08,Sabah,39814.76063507378
2020-08,Sarawak,16309.605640216387
2020-08,Selangor,262915.77312517766
2020-08,Terengganu,23150.137142366617
2020-09,Johor,78557.54744330204
2020-09,Kedah,33420.76631362657
2020-09,Kelantan,37770.580351620236
2020-09,Kuala Lumpur,143152.28035681968
2020-09,Labuan,485.84608882826666
2020-09,Melaka,24851.842964724066
2020-09,N. Sembilan,29627.5359415304
2020-09,Pahang,20913.709265209
2020-09,Penang,67088.89635940049
2020-09,Perak,34124.58045948023
2020-09,Perlis,3082.367115589133
2020-09,Putrajaya,4435.989532424601
2020-09,Sabah,36485.06362589303
2020-09,Sarawak,14857.203362671431
2020-09,Selangor,257540.74831509657
2020-09,Terengganu,21244.84148447757
2020-10,Johor,69245.24949916781
2020-10,Kedah,30798.84178961955
2020-10,Kelantan,35102.90607310123
2020-10,Kuala Lumpur,124762.98835296035
2020-10,Labuan,432.24462731067734
2020-10,Melaka,22394.251441470547
2020-10,N. Sembilan,26814.494295664746
2020-10,Pahang,18634.809679493068
2020-10,Penang,62139.66839529062
2020-10,Perak,31632.500745224683
2020-10,Perlis,2623.7120656901293
2020-10,Putrajaya,3887.920488861322
2020-10,Sabah,30279.008777549516
2020-10,Sarawak,13637.868842322709
2020-10,Selangor,219619.57139785125
2020-10,Terengganu,19411.014789345903
2020-11,Johor,64907.452070666186
2020-11,Kedah,29983.432704280927
2020-11,Kelantan,32997.70336062
2020-11,Kuala Lumpur,121669.24370447974
2020-11,Labuan,345.3286512189333
2020-11,Melaka,21961.89799541837
2020-11,N. Sembilan,24633.396434665832
2020-11,Pahang,19134.815806883067
2020-11,Penang,57901.38247006187
2020-11,Perak,28603.856574016332
2020-11,Perlis,2638.0562737825003
2020-11,Putrajaya,4195.059051900066
2020-11,Sabah,31964.081349957363
2020-11,Sarawak,13644.878020098866
2020-11,Selangor,217997.36262573936
2020-11,Terengganu,18526.050516597403
2020-12,Johor,67737.13128591498
2020-12,Kedah,32174.49791252871
2020-12,Kelantan,34700.658554849506
2020-12,Kuala Lumpur,129546.38866896859
2020-12,Labuan,349.2337943907742
2020-12,Melaka,23152.875136139453
2020-12,N. Sembilan,26336.775167731743
2020-12,Pahang,18911.743599905323
2020-12,Penang,60355.45430760179
2020-12,Perak,31392.140209601715
2020-12,Perlis,2758.2663609400006
2020-12,Putrajaya,4195.387358113742
2020-12,Sabah,33312.42047736684
2020-12,Sarawak,13439.394664369645
2020-12,Selangor,228494.51374872914
2020-12,Terengganu,19112.08545605916
2021-01,Johor,73191.03998124573
2021-01,Kedah,37336.790086384164
2021-01,Kelantan,38097.2233816829
2021-01,Kuala Lumpur,132406.51468761245
2021-01,Labuan,410.8127769050968
2021-01,Melaka,24629.818193515097
2021-01,N. Sembilan,29726.942533539906
2021-01,Pahang,20408.17668871935
2021-01,Penang,63102.13584563623
2021-01,Perak,36192.33987503058
2021-01,Perlis,2968.572786239903
2021-01,Putrajaya,4608.229501918774
2021-01,Sabah,40514.781942091875
2021-01,Sarawak,15256.491688771419
2021-01,Selangor,246180.4549075779
2021-01,Terengganu,21648.84574548436
2021-02,Johor,66278.09349551832
2021-02,Kedah,29890.42857208711
2021-02,Kelantan,33450.691930611065
2021-02,Kuala Lumpur,117052.00393350069
2021-02,Labuan,438.4839889925713
2021-02,Melaka,21536.74795638882
2021-02,N. Sembilan,26918.36830937957
2021-02,Pahang,17237.215721691213
2021-02,Penang,56415.05664318375
2021-02,Perak,30599.366224881
2021-02,Perlis,2280.3220869594998
2021-02,Putrajaya,4067.943621518642
2021-02,Sabah,34538.48144856882
2021-02,Sarawak,13371.454504179108
2021-02,Selangor,232257.1902558766
2021-02,Terengganu,18685.807314402788
2021-03,Johor,68871.89929508652
2021-03,Kedah,29612.316774604224
2021-03,Kelantan,32480.798518951582
2021-03,Kuala Lumpur,128797.56509394346
2021-03,Labuan,382.2961075044516
2021-03,Melaka,22144.343683626226
2021-03,N. Sembilan,27317.263431807
2021-03,Pahang,17607.18862909397
2021-03,Penang,63933.619801440196
2021-03,Perak,30326.142233645478
2021-03,Perlis,2218.180570697871
2021-03,Putrajaya,3798.2474923848067
2021-03,Sabah,35458.30929697226
2021-03,Sarawak,14276.923989644096
2021-03,Selangor,245801.20150734566
2021-03,Terengganu,18346.799930346548
