"Year,month",vertical,Leads_per_ad
2019-01,Auto,8.285816329010876
2019-01,Generalist,8.17879416707415
2019-01,Jobs,17.67824591951414
2019-01,Property,7.973520463357549
2019-01,Services,6.525709007799253
2019-02,Auto,8.158619565400041
2019-02,Generalist,8.29937028151495
2019-02,Jobs,18.111948408445066
2019-02,Property,7.788716722428666
2019-02,Services,6.607995192505844
2019-03,Auto,7.866513344808932
2019-03,Generalist,8.03889174778219
2019-03,Jobs,17.00763622412946
2019-03,Property,7.627393649393045
2019-03,Services,6.558351658074811
2019-04,Auto,7.8363551741163295
2019-04,Generalist,7.897552616046687
2019-04,Jobs,15.59617537409975
2019-04,Property,7.573828327389071
2019-04,Services,6.420791209198446
2019-05,Auto,7.604658034985409
2019-05,Generalist,8.179519062283978
2019-05,Jobs,13.187621055077242
2019-05,Property,7.284967155530973
2019-05,Services,6.39272061053813
2019-06,Auto,7.428827675465639
2019-06,Generalist,8.463535206013237
2019-06,Jobs,12.884973102906061
2019-06,Property,7.280351956467258
2019-06,Services,6.388388069869871
2019-07,Auto,7.791287563795016
2019-07,Generalist,8.166163686444413
2019-07,Jobs,16.90036518247398
2019-07,Property,7.576306235559755
2019-07,Services,6.549786252039693
2019-08,Auto,7.727402030261837
2019-08,Generalist,8.344327077311245
2019-08,Jobs,15.374049905321124
2019-08,Property,7.377464207479685
2019-08,Services,6.755187567004084
2019-09,Auto,7.784532756760033
2019-09,Generalist,8.371322067606258
2019-09,Jobs,15.763834020884595
2019-09,Property,7.569639629342403
2019-09,Services,6.6995755429917185
2019-10,Auto,7.736711203377435
2019-10,Generalist,8.558335587060846
2019-10,Jobs,14.382722579631539
2019-10,Property,7.382315479541723
2019-10,Services,6.703621448082755
2019-11,Auto,7.7302460820802
2019-11,Generalist,8.608748166260376
2019-11,Jobs,14.411967670071592
2019-11,Property,7.448863259315212
2019-11,Services,6.647237548573168
2019-12,Auto,7.93351791968603
2019-12,Generalist,8.607179664189395
2019-12,Jobs,14.847301313617114
2019-12,Property,7.814716353256334
2019-12,Services,6.878599679141228
2020-01,Auto,8.277895464674746
2020-01,Generalist,8.187529170024908
2020-01,Jobs,15.952347054437995
2020-01,Property,7.738303360640308
2020-01,Services,6.647977862175304
2020-02,Auto,8.031206213654283
2020-02,Generalist,8.182152228515251
2020-02,Jobs,16.083615696453933
2020-02,Property,7.64906326892794
2020-02,Services,6.271627426951825
2020-03,Auto,7.401414827523561
2020-03,Generalist,9.005153032449636
2020-03,Jobs,12.75020217452438
2020-03,Property,6.9942677086894545
2020-03,Services,6.258291854215399
2020-04,Auto,7.157419437918105
2020-04,Generalist,10.55231968610447
2020-04,Jobs,10.12792688755024
2020-04,Property,6.67916299157461
2020-04,Services,7.148045225619001
2020-05,Auto,8.022272804931491
2020-05,Generalist,10.879936806250837
2020-05,Jobs,23.35843025605612
2020-05,Property,7.775602619542117
2020-05,Services,7.124603620811419
2020-06,Auto,8.751138066528437
2020-06,Generalist,9.3556492275876
2020-06,Jobs,27.64011487168431
2020-06,Property,8.146531852863086
2020-06,Services,6.605526668388991
2020-07,Auto,7.5483252361956055
2020-07,Generalist,7.648720982767745
2020-07,Jobs,19.041456422194862
2020-07,Property,7.150164387280257
2020-07,Services,6.170612815490906
2020-08,Auto,7.443556580750491
2020-08,Generalist,7.770192780167046
2020-08,Jobs,16.391076527912226
2020-08,Property,7.074542080161057
2020-08,Services,6.617823077588806
2020-09,Auto,7.450768187035396
2020-09,Generalist,7.660086705387107
2020-09,Jobs,15.866072921801225
2020-09,Property,7.263841008588188
2020-09,Services,6.19187279334999
2020-10,Auto,7.252079509773779
2020-10,Generalist,7.7816259597491
2020-10,Jobs,13.10666926532395
2020-10,Property,7.044452315877327
2020-10,Services,5.822894147144506
2020-11,Auto,7.341105821461388
2020-11,Generalist,7.95997512537262
2020-11,Jobs,13.916619481333942
2020-11,Property,7.543201197009077
2020-11,Services,6.636904855751834
2020-12,Auto,7.705043239918729
2020-12,Generalist,7.688159476496253
2020-12,Jobs,13.772249969263148
2020-12,Property,7.860070820768098
2020-12,Services,6.68139461156427
2021-01,Auto,8.588877528710661
2021-01,Generalist,8.354035102533064
2021-01,Jobs,12.704197404963812
2021-01,Property,8.07155230957316
2021-01,Services,6.308836017519309
2021-02,Auto,8.041162620502522
2021-02,Generalist,8.375879006560545
2021-02,Jobs,13.050419549267488
2021-02,Property,8.13104179703921
2021-02,Services,6.293301639801149
2021-03,Auto,8.649451456759703
2021-03,Generalist,8.1023519173854
2021-03,Jobs,12.359595294410882
2021-03,Property,8.46632516087446
2021-03,Services,6.46645700612126
