"Year,month",vertical,seller_type,Leads_per_ad
2019-01,Auto,Private,10.333089772117125
2019-01,Auto,Pro,7.086846002436464
2019-02,Auto,Private,9.952533617837712
2019-02,Auto,Pro,7.056750487198464
2019-03,Auto,Private,9.578988632557685
2019-03,Auto,Pro,6.879475531157716
2019-04,Auto,Private,9.610208418076922
2019-04,Auto,Pro,6.856404761697219
2019-05,Auto,Private,9.274379695484699
2019-05,Auto,Pro,6.712106472295282
2019-06,Auto,Private,9.030003389101994
2019-06,Auto,Pro,6.556951680478474
2019-07,Auto,Private,9.613497385445456
2019-07,Auto,Pro,6.800358954075876
2019-08,Auto,Private,9.56155443401209
2019-08,Auto,Pro,6.737138231460703
2019-09,Auto,Private,9.611234161334
2019-09,Auto,Pro,6.808668177788032
2019-10,Auto,Private,9.507348760451295
2019-10,Auto,Pro,6.873502789343755
2019-11,Auto,Private,9.601037100686701
2019-11,Auto,Pro,6.871796721733866
2019-12,Auto,Private,9.844533718674011
2019-12,Auto,Pro,7.013534304732165
2020-01,Auto,Private,10.399137721052474
2020-01,Auto,Pro,7.153918141157122
2020-02,Auto,Private,10.033874087596644
2020-02,Auto,Pro,7.0007980999093995
2020-03,Auto,Private,9.133734976426368
2020-03,Auto,Pro,6.463196186921249
2020-04,Auto,Private,8.61165900795164
2020-04,Auto,Pro,6.2869240179331465
2020-05,Auto,Private,10.006702585390435
2020-05,Auto,Pro,7.123454814280277
2020-06,Auto,Private,11.400329029153147
2020-06,Auto,Pro,7.591076955121694
2020-07,Auto,Private,9.588155207227363
2020-07,Auto,Pro,6.610375952033345
2020-08,Auto,Private,9.60511896991964
2020-08,Auto,Pro,6.473484158196957
2020-09,Auto,Private,9.86893627730662
2020-09,Auto,Pro,6.363469254135497
2020-10,Auto,Private,9.57424169825465
2020-10,Auto,Pro,6.184357448784597
2020-11,Auto,Private,9.648150472877877
2020-11,Auto,Pro,6.284724910586587
2020-12,Auto,Private,9.93492592289823
2020-12,Auto,Pro,6.738728424764182
2021-01,Auto,Private,11.548666716710143
2021-01,Auto,Pro,7.242202638664343
2021-02,Auto,Private,10.53460444818416
2021-02,Auto,Pro,6.942137310596486
2021-03,Auto,Private,11.794724403052232
2021-03,Auto,Pro,7.48330084375121
