"Year,month",vertical,seller_type,Avg_leads
2019-01,Generalist,Private,255490.2482639193
2019-01,Generalist,Pro,57918.242096299626
2019-02,Generalist,Private,247259.6288180319
2019-02,Generalist,Pro,58263.754348255716
2019-03,Generalist,Private,211555.47055074474
2019-03,Generalist,Pro,53405.31945431672
2019-04,Generalist,Private,201046.3027283544
2019-04,Generalist,Pro,52477.94210728806
2019-05,Generalist,Private,200901.22355633148
2019-05,Generalist,Pro,49397.54199761329
2019-06,Generalist,Private,199866.05715636013
2019-06,Generalist,Pro,47243.81770766353
2019-07,Generalist,Private,213682.9514963623
2019-07,Generalist,Pro,53573.358370808586
2019-08,Generalist,Private,214503.0193785819
2019-08,Generalist,Pro,53687.88992574207
2019-09,Generalist,Private,218716.58021426803
2019-09,Generalist,Pro,50094.85585831487
2019-10,Generalist,Private,224828.99124338277
2019-10,Generalist,Pro,47195.73160392308
2019-11,Generalist,Private,219094.25125140988
2019-11,Generalist,Pro,43460.03133636066
2019-12,Generalist,Private,224239.0179001836
2019-12,Generalist,Pro,41343.33239276322
2020-01,Generalist,Private,209960.51497931694
2020-01,Generalist,Pro,38517.625676838
2020-02,Generalist,Private,202900.8709902498
2020-02,Generalist,Pro,38804.19283720793
2020-03,Generalist,Private,206535.45690089167
2020-03,Generalist,Pro,42835.14378845691
2020-04,Generalist,Private,279977.47392896115
2020-04,Generalist,Pro,59317.242911457266
2020-05,Generalist,Private,310252.1455244633
2020-05,Generalist,Pro,60374.45059012942
2020-06,Generalist,Private,271680.7045982823
2020-06,Generalist,Pro,49555.243594941
2020-07,Generalist,Private,216037.02090145485
2020-07,Generalist,Pro,41268.31015744648
2020-08,Generalist,Private,206864.33673790353
2020-08,Generalist,Pro,39813.736221570485
2020-09,Generalist,Private,189434.09771341007
2020-09,Generalist,Pro,34072.67621824751
2020-10,Generalist,Private,180834.84665484325
2020-10,Generalist,Pro,33472.475229134965
2020-11,Generalist,Private,180496.94770349452
2020-11,Generalist,Pro,31872.176026972433
2020-12,Generalist,Private,172418.53298508993
2020-12,Generalist,Pro,32528.83336697039
2021-01,Generalist,Private,193673.28989554872
2021-01,Generalist,Pro,37181.015352658935
2021-02,Generalist,Private,168040.21802438877
2021-02,Generalist,Pro,35890.94105084236
2021-03,Generalist,Private,146000.94390632425
2021-03,Generalist,Pro,31357.794178155193
