date,vertical,year,month,sumOfLeads,ad_id
2019-01-01,Auto,2019,1,305220.145898772,35468
2019-01-01,Generalist,2019,1,298060.57880666,37209
2019-01-01,Jobs,2019,1,48367.429789464,3148
2019-01-01,Property,2019,1,218244.146617654,28040
2019-01-01,Services,2019,1,11133.758961434,1745
2019-01-02,Auto,2019,1,349743.066061694,41320
2019-01-02,Generalist,2019,1,331809.030132548,40194
2019-01-02,Jobs,2019,1,84415.20050235,3924
2019-01-02,Property,2019,1,296733.071314092,35407
2019-01-02,Services,2019,1,14322.126260468,2166
2019-01-03,Auto,2019,1,359798.684361996,42166
2019-01-03,Generalist,2019,1,356149.156209962,41823
2019-01-03,Jobs,2019,1,78150.65569902,3802
2019-01-03,Property,2019,1,283434.10172475,34130
2019-01-03,Services,2019,1,16358.454341804,2563
2019-01-04,Auto,2019,1,335229.980821542,40258
2019-01-04,Generalist,2019,1,339901.341912514,40506
2019-01-04,Jobs,2019,1,67363.146289884,3595
2019-01-04,Property,2019,1,272827.455876904,33373
2019-01-04,Services,2019,1,16397.229944472,2622
2019-01-05,Auto,2019,1,344775.331502816,40357
2019-01-05,Generalist,2019,1,339244.47214512,39728
2019-01-05,Jobs,2019,1,49679.126267346,3161
2019-01-05,Property,2019,1,237385.838442746,29755
2019-01-05,Services,2019,1,15560.285009342,2529
2019-01-06,,2019,1,2,1
2019-01-06,Auto,2019,1,346392.9890588,39576
2019-01-06,Generalist,2019,1,322882.226961688,38972
2019-01-06,Jobs,2019,1,49778.330202648,3082
2019-01-06,Property,2019,1,249597.912148286,30889
2019-01-06,Services,2019,1,15286.902255948,2435
2019-01-07,Auto,2019,1,350647.761392284,41300
2019-01-07,Generalist,2019,1,335560.293732162,40208
2019-01-07,Jobs,2019,1,92178.826994688,4077
2019-01-07,Property,2019,1,306813.84762131,36457
2019-01-07,Services,2019,1,16403.89233625,2543
2019-01-08,Auto,2019,1,361481.686264504,41838
2019-01-08,Generalist,2019,1,332995.993081792,39916
2019-01-08,Jobs,2019,1,85003.07567451,4014
2019-01-08,Property,2019,1,284685.945734704,34764
2019-01-08,Services,2019,1,17364.299419192,2691
2019-01-09,Auto,2019,1,345281.66894919,41246
2019-01-09,Generalist,2019,1,327470.83453616,39470
2019-01-09,Jobs,2019,1,81237.00035286,3973
2019-01-09,Property,2019,1,282130.461599588,34657
2019-01-09,Services,2019,1,18060.68258476,2942
2019-01-10,Auto,2019,1,339883.286408844,40966
2019-01-10,Generalist,2019,1,330858.545928668,39569
2019-01-10,Jobs,2019,1,73752.614567298,3810
2019-01-10,Property,2019,1,265860.37518176,33360
2019-01-10,Services,2019,1,16835.87526651,2611
2019-01-11,Auto,2019,1,327982.919299706,39207
2019-01-11,Generalist,2019,1,323087.893737912,38665
2019-01-11,Jobs,2019,1,63336.201360588,3641
2019-01-11,Property,2019,1,244896.40950433,31133
2019-01-11,Services,2019,1,15285.877573728,2375
2019-01-12,,2019,1,4,1
2019-01-12,Auto,2019,1,309190.56370596,37764
2019-01-12,Generalist,2019,1,308482.115615936,37502
2019-01-12,Jobs,2019,1,43884.881601744,3144
2019-01-12,Property,2019,1,220583.946345508,28186
2019-01-12,Services,2019,1,14587.073412538,2320
2019-01-13,,2019,1,8,1
2019-01-13,Auto,2019,1,301621.214457414,36817
2019-01-13,Generalist,2019,1,311221.57366098,37613
2019-01-13,Jobs,2019,1,45108.396803802,3058
2019-01-13,Property,2019,1,231868.60204898,29268
2019-01-13,Services,2019,1,13478.824724274,2072
2019-01-14,,2019,1,2,1
2019-01-14,Auto,2019,1,346162.128325204,41172
2019-01-14,Generalist,2019,1,305485.128211146,37997
2019-01-14,Jobs,2019,1,78933.264521958,3976
2019-01-14,Property,2019,1,292430.268421708,35300
2019-01-14,Services,2019,1,16582.466068406,2533
2019-01-15,Auto,2019,1,334906.507134198,40538
2019-01-15,Generalist,2019,1,314119.669564492,38998
2019-01-15,Jobs,2019,1,74755.676579796,3862
2019-01-15,Property,2019,1,272104.535138608,34040
2019-01-15,Services,2019,1,16551.991003222,2510
2019-01-16,Auto,2019,1,324007.408358068,39590
2019-01-16,Generalist,2019,1,310017.877710054,38670
2019-01-16,Jobs,2019,1,71985.314830992,3842
2019-01-16,Property,2019,1,271094.869073686,33364
2019-01-16,Services,2019,1,16311.494299798,2486
2019-01-17,,2019,1,8,1
2019-01-17,Auto,2019,1,327894.728162704,39736
2019-01-17,Generalist,2019,1,314128.83723794,39550
2019-01-17,Jobs,2019,1,68322.11766447,3737
2019-01-17,Property,2019,1,260421.195992324,32905
2019-01-17,Services,2019,1,15439.98460566,2310
2019-01-18,,2019,1,2,1
2019-01-18,Auto,2019,1,301632.016696046,37419
2019-01-18,Generalist,2019,1,299681.742517704,36310
2019-01-18,Jobs,2019,1,57501.5402769,3458
2019-01-18,Property,2019,1,226243.51017354,29817
2019-01-18,Services,2019,1,14621.645981566,2334
2019-01-19,Auto,2019,1,289939.39068624,36764
2019-01-19,Generalist,2019,1,284073.117214572,35133
2019-01-19,Jobs,2019,1,41518.6840338,3054
2019-01-19,Property,2019,1,194295.784277128,26283
2019-01-19,Services,2019,1,13412.236697084,2039
2019-01-20,Auto,2019,1,274437.819427816,34508
2019-01-20,Generalist,2019,1,270337.63216099,34454
2019-01-20,Jobs,2019,1,36088.187130972,2765
2019-01-20,Property,2019,1,202461.420775232,26750
2019-01-20,Services,2019,1,10851.672359088,1710
2019-01-21,Auto,2019,1,310960.367247678,38010
2019-01-21,Generalist,2019,1,281075.398859154,35742
2019-01-21,Jobs,2019,1,51494.19086139,3265
2019-01-21,Property,2019,1,230192.271465004,29689
2019-01-21,Services,2019,1,14124.876894004,2199
2019-01-22,Auto,2019,1,324294.667756884,39452
2019-01-22,Generalist,2019,1,292413.225333394,37294
2019-01-22,Jobs,2019,1,73017.770602098,3772
2019-01-22,Property,2019,1,266312.192437112,32876
2019-01-22,Services,2019,1,16114.501748868,2384
2019-01-23,,2019,1,10,1
2019-01-23,Auto,2019,1,311988.493775094,38761
2019-01-23,Generalist,2019,1,293259.313320066,37331
2019-01-23,Jobs,2019,1,70151.879137818,3725
2019-01-23,Property,2019,1,260728.979216274,32399
2019-01-23,Services,2019,1,16583.22549663,2524
2019-01-24,,2019,1,4,1
2019-01-24,Auto,2019,1,306496.9465581,37374
2019-01-24,Generalist,2019,1,293728.988730722,36343
2019-01-24,Jobs,2019,1,65397.438682974,3593
2019-01-24,Property,2019,1,238056.70436718,30638
2019-01-24,Services,2019,1,16238.027205552,2468
2019-01-25,Auto,2019,1,295690.76640853,36588
2019-01-25,Generalist,2019,1,293921.676653842,37020
2019-01-25,Jobs,2019,1,56208.214898148,3308
2019-01-25,Property,2019,1,212069.21643032,28309
2019-01-25,Services,2019,1,15562.839345914,2405
2019-01-26,,2019,1,2,1
2019-01-26,Auto,2019,1,282828.51026146,34674
2019-01-26,Generalist,2019,1,285172.486939402,35651
2019-01-26,Jobs,2019,1,38704.231647084,2856
2019-01-26,Property,2019,1,186267.086642268,25123
2019-01-26,Services,2019,1,11854.81639055,1859
2019-01-27,,2019,1,8,1
2019-01-27,Auto,2019,1,278809.35798516,34191
2019-01-27,Generalist,2019,1,281419.6731126,37014
2019-01-27,Jobs,2019,1,37535.829742416,2894
2019-01-27,Property,2019,1,193977.22540473,25857
2019-01-27,Services,2019,1,13474.596294558,2007
2019-01-28,,2019,1,8,1
2019-01-28,Auto,2019,1,322608.123263718,38801
2019-01-28,Generalist,2019,1,312280.878346264,38840
2019-01-28,Jobs,2019,1,71202.706008054,3608
2019-01-28,Property,2019,1,243677.7344748,30740
2019-01-28,Services,2019,1,17716.735804604,2638
2019-01-29,Auto,2019,1,316285.23403407,37197
2019-01-29,Generalist,2019,1,359224.042233694,39441
2019-01-29,Jobs,2019,1,67131.670440846,3539
2019-01-29,Property,2019,1,286617.494629202,29259
2019-01-29,Services,2019,1,18187.866656114,2437
