date,channel_grouping,year,month,sumOfLeads,ad_id
2019-01-01,,2019,1,881026.060073984,105610
2019-01-02,,2019,1,1077022.494271152,123011
2019-01-03,,2019,1,1093891.052337532,124484
2019-01-04,,2019,1,1031719.154845316,120354
2019-01-05,,2019,1,986645.05336737,115530
2019-01-06,,2019,1,983940.36062737,114955
2019-01-07,,2019,1,1101604.622076694,124585
2019-01-08,,2019,1,1081531.000174702,123223
2019-01-09,,2019,1,1054180.648022558,122288
2019-01-10,,2019,1,1027190.69735308,120316
2019-01-11,,2019,1,974589.301476264,115021
2019-01-12,,2019,1,896732.580681686,108917
2019-01-13,,2019,1,903306.61169545,108829
2019-01-14,,2019,1,1039595.255548422,120979
2019-01-15,,2019,1,1012438.379420316,119948
2019-01-16,,2019,1,993416.964272598,117952
2019-01-17,,2019,1,986214.863663098,118239
2019-01-18,,2019,1,899682.455645756,109339
2019-01-19,,2019,1,823239.212908824,103273
2019-01-20,,2019,1,794176.731854098,100187
2019-01-21,,2019,1,887847.10532723,108905
2019-01-22,,2019,1,972152.357878356,115778
2019-01-23,,2019,1,952721.890945882,114741
2019-01-24,,2019,1,919922.105544528,110417
2019-01-25,,2019,1,873452.713736754,107630
2019-01-26,,2019,1,804829.131880764,100164
2019-01-27,,2019,1,805224.682539464,101964
2019-01-28,,2019,1,967494.17789744,114628
2019-01-29,,2019,1,1047446.307993926,111873
2019-01-30,,2019,1,935296.031059118,111685
2019-01-31,,2019,1,920939.112055458,109136
2019-02-01,,2019,2,841735.092147136,101140
2019-02-02,,2019,2,785897.69128649,96247
2019-02-03,,2019,2,757040.681150632,92904
2019-02-04,,2019,2,778397.585608124,94248
2019-02-05,,2019,2,697296.783666784,85821
2019-02-06,,2019,2,770014.984068066,91443
2019-02-07,,2019,2,922717.935283388,106276
2019-02-08,,2019,2,898360.77711421,105495
2019-02-09,,2019,2,849189.525362864,102023
2019-02-10,,2019,2,838219.952427946,101272
2019-02-11,,2019,2,1022158.11525521,117858
2019-02-12,,2019,2,977861.475585296,114515
2019-02-13,,2019,2,965054.426457834,113205
2019-02-14,,2019,2,964258.985458504,112119
2019-02-15,,2019,2,907411.562269044,107781
