date,region,year,month,sumOfLeads
2019-01-08,Johor,2019,1,106062.838435828
2019-01-08,Kedah,2019,1,47593.15609655
2019-01-08,Kelantan,2019,1,51014.32497879
2019-01-08,Kuala Lumpur,2019,1,199475.972056286
2019-01-08,Labuan,2019,1,431.12431912
2019-01-08,Melaka,2019,1,33057.708830944
2019-01-08,N. Sembilan,2019,1,33849.355069196
2019-01-08,Pahang,2019,1,28610.746188196
2019-01-08,Penang,2019,1,81850.14674608
2019-01-08,Perak,2019,1,44413.650763998
2019-01-08,Perlis,2019,1,3676.38935482
2019-01-08,Putrajaya,2019,1,7211.454864098
2019-01-08,Sabah,2019,1,55215.892015178
2019-01-08,Sarawak,2019,1,21008.327183078
2019-01-08,Selangor,2019,1,337622.158894918
2019-01-08,Terengganu,2019,1,30437.754377622
2019-01-09,Johor,2019,1,98424.985250598
2019-01-09,Kedah,2019,1,45367.478185778
2019-01-09,Kelantan,2019,1,50995.054794328
2019-01-09,Kuala Lumpur,2019,1,195067.143834828
2019-01-09,Labuan,2019,1,511.03274176
2019-01-09,Melaka,2019,1,30910.848828744
2019-01-09,N. Sembilan,2019,1,34149.028887044
2019-01-09,Pahang,2019,1,26501.345549498
2019-01-09,Penang,2019,1,78994.650292472
2019-01-09,Perak,2019,1,44601.995427392
2019-01-09,Perlis,2019,1,3398.542622348
2019-01-09,Putrajaya,2019,1,6703.218303744
2019-01-09,Sabah,2019,1,56536.546392592
2019-01-09,Sarawak,2019,1,20319.6538703
2019-01-09,Selangor,2019,1,332125.605447616
2019-01-09,Terengganu,2019,1,29573.517593516
2019-01-10,Johor,2019,1,97231.151307092
2019-01-10,Kedah,2019,1,44002.202370468
2019-01-10,Kelantan,2019,1,51474.59448124
2019-01-10,Kuala Lumpur,2019,1,187215.064543154
2019-01-10,Labuan,2019,1,394.897065486
2019-01-10,Melaka,2019,1,31966.388840286
2019-01-10,N. Sembilan,2019,1,32510.762671744
2019-01-10,Pahang,2019,1,27253.074987198
2019-01-10,Penang,2019,1,75326.772021226
2019-01-10,Perak,2019,1,43721.89984878
2019-01-10,Perlis,2019,1,3381.4840708
2019-01-10,Putrajaya,2019,1,6790.831321824
2019-01-10,Sabah,2019,1,52994.77510555
2019-01-10,Sarawak,2019,1,21717.532943668
2019-01-10,Selangor,2019,1,321994.471144174
2019-01-10,Terengganu,2019,1,29214.79463039
2019-01-11,Johor,2019,1,95960.202694912
2019-01-11,Kedah,2019,1,41775.774947402
2019-01-11,Kelantan,2019,1,49778.766082792
2019-01-11,Kuala Lumpur,2019,1,178595.523265964
2019-01-11,Labuan,2019,1,505.552372506
2019-01-11,Melaka,2019,1,31336.838042262
2019-01-11,N. Sembilan,2019,1,30481.185123278
2019-01-11,Pahang,2019,1,27105.691217492
2019-01-11,Penang,2019,1,73986.967757312
2019-01-11,Perak,2019,1,40282.616327606
2019-01-11,Perlis,2019,1,3389.898204866
2019-01-11,Putrajaya,2019,1,6150.076393524
2019-01-11,Sabah,2019,1,53880.680022952
2019-01-11,Sarawak,2019,1,19684.799016432
2019-01-11,Selangor,2019,1,293837.444876902
2019-01-11,Terengganu,2019,1,27837.285130062
2019-01-12,,2019,1,4
2019-01-12,Johor,2019,1,86806.092009432
2019-01-12,Kedah,2019,1,39449.766856756
2019-01-12,Kelantan,2019,1,49744.590915838
2019-01-12,Kuala Lumpur,2019,1,164634.816422698
2019-01-12,Labuan,2019,1,453.77833643
2019-01-12,Melaka,2019,1,29330.831729996
2019-01-12,N. Sembilan,2019,1,28629.034356956
2019-01-12,Pahang,2019,1,22942.730693528
2019-01-12,Penang,2019,1,59879.825026078
2019-01-12,Perak,2019,1,38125.010484698
2019-01-12,Perlis,2019,1,3367.095756364
2019-01-12,Putrajaya,2019,1,5138.645513826
2019-01-12,Sabah,2019,1,50587.745873104
2019-01-12,Sarawak,2019,1,18725.34841281
2019-01-12,Selangor,2019,1,269712.702798196
2019-01-12,Terengganu,2019,1,29200.565494976
2019-01-13,,2019,1,8
2019-01-13,Johor,2019,1,89405.331732348
2019-01-13,Kedah,2019,1,42070.318988546
2019-01-13,Kelantan,2019,1,49613.153416374
2019-01-13,Kuala Lumpur,2019,1,160789.08272827
2019-01-13,Labuan,2019,1,369.375557622
2019-01-13,Melaka,2019,1,27558.087540924
2019-01-13,N. Sembilan,2019,1,30406.924428772
2019-01-13,Pahang,2019,1,22810.142497152
2019-01-13,Penang,2019,1,58911.911983254
2019-01-13,Perak,2019,1,40913.175526214
2019-01-13,Perlis,2019,1,3144.619681658
2019-01-13,Putrajaya,2019,1,5282.23910635
2019-01-13,Sabah,2019,1,47103.072455464
2019-01-13,Sarawak,2019,1,19064.164976804
2019-01-13,Selangor,2019,1,276016.75856235
2019-01-13,Terengganu,2019,1,29840.252513348
2019-01-14,,2019,1,2
2019-01-14,Johor,2019,1,96135.288252734
2019-01-14,Kedah,2019,1,44136.005770492
2019-01-14,Kelantan,2019,1,51420.023362192
2019-01-14,Kuala Lumpur,2019,1,188107.420438442
2019-01-14,Labuan,2019,1,439.424188214
2019-01-14,Melaka,2019,1,33144.946489486
2019-01-14,N. Sembilan,2019,1,30884.297528558
2019-01-14,Pahang,2019,1,25534.545956174
2019-01-14,Penang,2019,1,75240.045319136
2019-01-14,Perak,2019,1,41895.926674596
2019-01-14,Perlis,2019,1,3455.413737322
2019-01-14,Putrajaya,2019,1,6661.257248692
2019-01-14,Sabah,2019,1,54034.209229104
