date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-03,Sarawak,Private,2019,1,13576.729018056,1649
2019-01-03,Sarawak,Pro,2019,1,7451.047370354,1106
2019-01-03,Selangor,Private,2019,1,155556.969798296,15840
2019-01-03,Selangor,Pro,2019,1,188160.0682292,23704
2019-01-03,Terengganu,Private,2019,1,24650.729708182,2796
2019-01-03,Terengganu,Pro,2019,1,6547.827845982,892
2019-01-04,Johor,Private,2019,1,50685.898435884,5327
2019-01-04,Johor,Pro,2019,1,51924.824180046,6908
2019-01-04,Kedah,Private,2019,1,30508.468376328,3226
2019-01-04,Kedah,Pro,2019,1,14581.880848674,1777
2019-01-04,Kelantan,Private,2019,1,41254.375310228,4309
2019-01-04,Kelantan,Pro,2019,1,12056.03122165,1528
2019-01-04,Kuala Lumpur,Private,2019,1,84861.490337824,8630
2019-01-04,Kuala Lumpur,Pro,2019,1,101707.398920254,13139
2019-01-04,Labuan,Private,2019,1,353.012871222,54
2019-01-04,Labuan,Pro,2019,1,85.939994268,13
2019-01-04,Melaka,Private,2019,1,19541.249765272,2099
2019-01-04,Melaka,Pro,2019,1,13009.97635278,1611
2019-01-04,N. Sembilan,Private,2019,1,18117.982861448,1945
2019-01-04,N. Sembilan,Pro,2019,1,14944.254439352,1822
2019-01-04,Pahang,Private,2019,1,20564.382932372,2044
2019-01-04,Pahang,Pro,2019,1,6229.35787662,894
2019-01-04,Penang,Private,2019,1,43644.49913098,4361
2019-01-04,Penang,Pro,2019,1,32378.231209154,4171
2019-01-04,Perak,Private,2019,1,27170.368548778,2993
2019-01-04,Perak,Pro,2019,1,14894.887873468,1819
2019-01-04,Perlis,Private,2019,1,3212.801236554,364
2019-01-04,Perlis,Pro,2019,1,570.416183644,86
2019-01-04,Putrajaya,Private,2019,1,4111.352643016,428
2019-01-04,Putrajaya,Pro,2019,1,2340.530518012,288
2019-01-04,Sabah,Private,2019,1,35249.44644329,3851
2019-01-04,Sabah,Pro,2019,1,19646.464614254,2429
2019-01-04,Sarawak,Private,2019,1,13005.744066944,1598
2019-01-04,Sarawak,Pro,2019,1,6995.411405564,1058
2019-01-04,Selangor,Private,2019,1,142548.503502646,14954
2019-01-04,Selangor,Pro,2019,1,175939.668341368,23074
2019-01-04,Terengganu,Private,2019,1,21974.890455526,2431
2019-01-04,Terengganu,Pro,2019,1,7609.413947896,1123
2019-01-05,Johor,Private,2019,1,51876.838877412,5197
2019-01-05,Johor,Pro,2019,1,49714.144540942,6687
2019-01-05,Kedah,Private,2019,1,30451.989603654,3198
2019-01-05,Kedah,Pro,2019,1,13069.930523386,1698
2019-01-05,Kelantan,Private,2019,1,41134.874962656,4220
2019-01-05,Kelantan,Pro,2019,1,13465.970136632,1595
2019-01-05,Kuala Lumpur,Private,2019,1,79117.297720356,7981
2019-01-05,Kuala Lumpur,Pro,2019,1,97377.89634989,12324
2019-01-05,Labuan,Private,2019,1,457.628833354,57
2019-01-05,Labuan,Pro,2019,1,81.86559224,12
2019-01-05,Melaka,Private,2019,1,19237.552327976,2013
2019-01-05,Melaka,Pro,2019,1,12252.725094936,1506
2019-01-05,N. Sembilan,Private,2019,1,17303.868286894,1879
2019-01-05,N. Sembilan,Pro,2019,1,13413.388226692,1768
2019-01-05,Pahang,Private,2019,1,20589.524656308,1995
2019-01-05,Pahang,Pro,2019,1,6100.09304226,816
2019-01-05,Penang,Private,2019,1,41681.175870304,4386
2019-01-05,Penang,Pro,2019,1,27316.679808422,3683
2019-01-05,Perak,Private,2019,1,27143.652971798,2898
2019-01-05,Perak,Pro,2019,1,13738.556513326,1779
2019-01-05,Perlis,Private,2019,1,3347.73919705,396
2019-01-05,Perlis,Pro,2019,1,531.598717814,80
2019-01-05,Putrajaya,Private,2019,1,3525.99195927,430
2019-01-05,Putrajaya,Pro,2019,1,2091.128472992,259
2019-01-05,Sabah,Private,2019,1,34078.31516581,3813
2019-01-05,Sabah,Pro,2019,1,18345.064402136,2275
2019-01-05,Sarawak,Private,2019,1,13385.702857442,1586
2019-01-05,Sarawak,Pro,2019,1,7348.590781116,1091
2019-01-05,Selangor,Private,2019,1,134945.208402588,14524
2019-01-05,Selangor,Pro,2019,1,162496.30759759,21759
2019-01-05,Terengganu,Private,2019,1,23105.57175729,2530
2019-01-05,Terengganu,Pro,2019,1,7918.180116834,1095
2019-01-06,,Pro,2019,1,2,1
2019-01-06,Johor,Private,2019,1,54328.598270988,5349
2019-01-06,Johor,Pro,2019,1,51678.892526948,6922
2019-01-06,Kedah,Private,2019,1,31800.844270368,3280
2019-01-06,Kedah,Pro,2019,1,14475.249348996,1844
2019-01-06,Kelantan,Private,2019,1,38199.823718696,4263
2019-01-06,Kelantan,Pro,2019,1,13828.535946126,1681
2019-01-06,Kuala Lumpur,Private,2019,1,80884.688061588,8005
2019-01-06,Kuala Lumpur,Pro,2019,1,90749.784332088,11970
2019-01-06,Labuan,Private,2019,1,328.650747796,50
2019-01-06,Labuan,Pro,2019,1,93.035260706,12
2019-01-06,Melaka,Private,2019,1,17686.689625564,1924
2019-01-06,Melaka,Pro,2019,1,12626.13117873,1646
2019-01-06,N. Sembilan,Private,2019,1,17780.128860392,1937
2019-01-06,N. Sembilan,Pro,2019,1,13864.687713074,1838
2019-01-06,Pahang,Private,2019,1,20745.638520396,2113
2019-01-06,Pahang,Pro,2019,1,5759.94036653,778
2019-01-06,Penang,Private,2019,1,40245.184526764,4303
2019-01-06,Penang,Pro,2019,1,28192.156956572,3778
2019-01-06,Perak,Private,2019,1,27167.909493582,2913
2019-01-06,Perak,Pro,2019,1,13227.783265886,1692
2019-01-06,Perlis,Private,2019,1,2810.824652412,357
2019-01-06,Perlis,Pro,2019,1,519.693578872,81
2019-01-06,Putrajaya,Private,2019,1,4222.790672016,479
2019-01-06,Putrajaya,Pro,2019,1,2359.497118308,284
2019-01-06,Sabah,Private,2019,1,35024.661320984,3748
2019-01-06,Sabah,Pro,2019,1,17172.90655915,2150
2019-01-06,Sarawak,Private,2019,1,12568.417652008,1529
2019-01-06,Sarawak,Pro,2019,1,7483.03477292,1074
2019-01-06,Selangor,Private,2019,1,137809.426056732,14463
2019-01-06,Selangor,Pro,2019,1,156961.273402698,20811
2019-01-06,Terengganu,Private,2019,1,26175.408876918,2807
2019-01-06,Terengganu,Pro,2019,1,7166.072972562,873
2019-01-07,Johor,Private,2019,1,53425.285371416,5372
2019-01-07,Johor,Pro,2019,1,55639.939894682,7037
2019-01-07,Kedah,Private,2019,1,30252.929229434,3260
2019-01-07,Kedah,Pro,2019,1,15581.090859838,1899
2019-01-07,Kelantan,Private,2019,1,38269.30392871,4287
2019-01-07,Kelantan,Pro,2019,1,14597.590790748,1713
2019-01-07,Kuala Lumpur,Private,2019,1,89667.459082908,8792
2019-01-07,Kuala Lumpur,Pro,2019,1,113042.020052108,13901
2019-01-07,Labuan,Private,2019,1,341.615887922,53
2019-01-07,Labuan,Pro,2019,1,55.527107628,9
2019-01-07,Melaka,Private,2019,1,18303.789867988,2045
2019-01-07,Melaka,Pro,2019,1,14326.943830794,1665
2019-01-07,N. Sembilan,Private,2019,1,18647.12149963,1974
2019-01-07,N. Sembilan,Pro,2019,1,17218.186467266,2004
2019-01-07,Pahang,Private,2019,1,20815.804870446,2135
2019-01-07,Pahang,Pro,2019,1,7082.072382806,909
2019-01-07,Penang,Private,2019,1,45077.054039148,4477
2019-01-07,Penang,Pro,2019,1,35143.005976724,4311
2019-01-07,Perak,Private,2019,1,28332.080926304,3036
2019-01-07,Perak,Pro,2019,1,15218.056374554,1880
2019-01-07,Perlis,Private,2019,1,3099.818416644,352
2019-01-07,Perlis,Pro,2019,1,694.097329564,105
2019-01-07,Putrajaya,Private,2019,1,4001.974573214,445
2019-01-07,Putrajaya,Pro,2019,1,2964.462409132,332
2019-01-07,Sabah,Private,2019,1,35901.42287084,3879
2019-01-07,Sabah,Pro,2019,1,21337.56053108,2478
2019-01-07,Sarawak,Private,2019,1,12427.688176732,1602
2019-01-07,Sarawak,Pro,2019,1,8094.10898136,1146
2019-01-07,Selangor,Private,2019,1,151951.103570518,15615
2019-01-07,Selangor,Pro,2019,1,200494.992654078,24370
2019-01-07,Terengganu,Private,2019,1,22954.382649628,2593
2019-01-07,Terengganu,Pro,2019,1,6646.13147285,909
2019-01-08,Johor,Private,2019,1,52520.970475836,5260
2019-01-08,Johor,Pro,2019,1,53541.867959992,6985
2019-01-08,Kedah,Private,2019,1,33513.415686578,3250
2019-01-08,Kedah,Pro,2019,1,14079.740409972,1805
2019-01-08,Kelantan,Private,2019,1,36821.17070466,4068
2019-01-08,Kelantan,Pro,2019,1,14193.15427413,1763
2019-01-08,Kuala Lumpur,Private,2019,1,88052.534302662,8517
2019-01-08,Kuala Lumpur,Pro,2019,1,111423.437753624,14030
2019-01-08,Labuan,Private,2019,1,337.565234068,52
2019-01-08,Labuan,Pro,2019,1,93.559085052,17
2019-01-08,Melaka,Private,2019,1,19615.433362234,2023
2019-01-08,Melaka,Pro,2019,1,13442.27546871,1604
2019-01-08,N. Sembilan,Private,2019,1,18071.165191042,1943
2019-01-08,N. Sembilan,Pro,2019,1,15778.189878154,1909
2019-01-08,Pahang,Private,2019,1,21433.782010586,2190
2019-01-08,Pahang,Pro,2019,1,7176.96417761,883
2019-01-08,Penang,Private,2019,1,46456.803215898,4320
2019-01-08,Penang,Pro,2019,1,35393.343530182,4308
2019-01-08,Perak,Private,2019,1,28370.237354152,2983
2019-01-08,Perak,Pro,2019,1,16043.413409846,2035
2019-01-08,Perlis,Private,2019,1,2923.378261408,375
2019-01-08,Perlis,Pro,2019,1,753.011093412,100
2019-01-08,Putrajaya,Private,2019,1,4236.342937446,470
2019-01-08,Putrajaya,Pro,2019,1,2975.111926652,368
2019-01-08,Sabah,Private,2019,1,34403.748265134,3949
2019-01-08,Sabah,Pro,2019,1,20812.143750044,2518
2019-01-08,Sarawak,Private,2019,1,12470.226769834,1563
