"Year,month",vertical,seller_type,Avg_leads
2019-01,Auto,Private,147355.14028837517
2019-01,Auto,Pro,172638.0923720575
2019-02,Auto,Private,132976.69021937836
2019-02,Auto,Pro,154627.264633596
2019-03,Auto,Private,123456.85597774711
2019-03,Auto,Pro,153794.50040861167
2019-04,Auto,Private,119932.06788977512
2019-04,Auto,Pro,154755.51449546567
2019-05,Auto,Private,111151.1483944316
2019-05,Auto,Pro,150793.7844957138
2019-06,Auto,Private,94959.36613677168
2019-06,Auto,Pro,126284.10612063852
2019-07,Auto,Private,122003.40381709638
2019-07,Auto,Pro,158456.2196725885
2019-08,Auto,Private,116160.45600648937
2019-08,Auto,Pro,151578.49720825526
2019-09,Auto,Private,113950.37582289286
2019-09,Auto,Pro,151114.19586204726
2019-10,Auto,Private,110218.43216249876
2019-10,Auto,Pro,163850.03577848768
2019-11,Auto,Private,108925.4543527332
2019-11,Auto,Pro,169343.1034756883
2019-12,Auto,Private,116453.91652311072
2019-12,Auto,Pro,172951.71733156568
2020-01,Auto,Private,127198.92503300284
2020-01,Auto,Pro,166423.56966794954
2020-02,Auto,Private,120189.19891266315
2020-02,Auto,Pro,163008.92144038592
2020-03,Auto,Private,88333.42560033606
2020-03,Auto,Pro,117438.55646852659
2020-04,Auto,Private,57708.80807791761
2020-04,Auto,Pro,70458.10719624694
2020-05,Auto,Private,86395.44537076309
2020-05,Auto,Pro,132034.44447753084
2020-06,Auto,Private,124727.40452821554
2020-06,Auto,Pro,189191.5603208428
2020-07,Auto,Private,120918.8068493925
2020-07,Auto,Pro,181234.69189150207
2020-08,Auto,Private,116006.54075527824
2020-08,Auto,Pro,174712.88200314905
2020-09,Auto,Private,113276.13881596967
2020-09,Auto,Pro,162733.38124491833
2020-10,Auto,Private,101606.49504249211
2020-10,Auto,Pro,142896.01990199028
2020-11,Auto,Private,92339.37150588473
2020-11,Auto,Pro,131687.1497231184
2020-12,Auto,Private,98969.94378120132
2020-12,Auto,Pro,155225.86197396633
2021-01,Auto,Private,121039.7858922447
2021-01,Auto,Pro,167067.77172254285
2021-02,Auto,Private,93375.54221819481
2021-02,Auto,Pro,140302.35474764957
2021-03,Auto,Private,103623.33002100157
2021-03,Auto,Pro,177059.3684161652
