"Year,month",vertical,seller_type,Leads_per_ad
2019-01,Generalist,Private,8.608870671544873
2019-01,Generalist,Pro,6.703345101923234
2019-02,Generalist,Private,8.725068600548974
2019-02,Generalist,Pro,6.875345689038471
2019-03,Generalist,Private,8.434235980863958
2019-03,Generalist,Pro,6.78007977527087
2019-04,Generalist,Private,8.258120439811368
2019-04,Generalist,Pro,6.763196484662625
2019-05,Generalist,Private,8.57975510178728
2019-05,Generalist,Pro,6.873349398224483
2019-06,Generalist,Private,8.889306449729434
2019-06,Generalist,Pro,7.032293393195574
2019-07,Generalist,Private,8.542291878478203
2019-07,Generalist,Pro,6.944865678077719
2019-08,Generalist,Private,8.774474122184094
2019-08,Generalist,Pro,6.979503015609658
2019-09,Generalist,Private,8.80275105561702
2019-09,Generalist,Pro,6.89440990255627
2019-10,Generalist,Private,8.99776305824115
2019-10,Generalist,Pro,6.94372351179929
2019-11,Generalist,Private,8.992127645552463
2019-11,Generalist,Pro,7.085433650310853
2019-12,Generalist,Private,9.05365973620935
2019-12,Generalist,Pro,6.769401571793844
2020-01,Generalist,Private,8.708227692880705
2020-01,Generalist,Pro,6.182484674620329
2020-02,Generalist,Private,8.681036213332279
2020-02,Generalist,Pro,6.289493471191774
2020-03,Generalist,Private,9.519070841308405
2020-03,Generalist,Pro,7.156289808772189
2020-04,Generalist,Private,11.422917174767466
2020-04,Generalist,Pro,7.759431257222865
2020-05,Generalist,Private,11.84207398821623
2020-05,Generalist,Pro,7.680315145088144
2020-06,Generalist,Private,9.986147710391098
2020-06,Generalist,Pro,6.95116467069223
2020-07,Generalist,Private,8.09534176468006
2020-07,Generalist,Pro,5.93072585922414
2020-08,Generalist,Private,8.23776654288778
2020-08,Generalist,Pro,5.993391764116489
2020-09,Generalist,Private,8.112733667793002
2020-09,Generalist,Pro,5.8415880716986175
2020-10,Generalist,Private,8.228361818877602
2020-10,Generalist,Pro,6.0131074830876186
2020-11,Generalist,Private,8.394917453622062
2020-11,Generalist,Pro,6.148546350971245
2020-12,Generalist,Private,8.09160919411529
2020-12,Generalist,Pro,6.076670277647423
2021-01,Generalist,Private,8.803537437244355
2021-01,Generalist,Pro,6.596288311031064
2021-02,Generalist,Private,8.860368598031483
2021-02,Generalist,Pro,6.663305187004895
2021-03,Generalist,Private,8.547856082625813
2021-03,Generalist,Pro,6.515945294139354
