"Year,month",vertical,seller_type,Leads_per_ad
2019-01,Services,Private,6.1369137474930655
2019-01,Services,Pro,6.539635617605408
2019-02,Services,Private,6.283300110093046
2019-02,Services,Pro,6.621110249981094
2019-03,Services,Private,6.282225192078283
2019-03,Services,Pro,6.568496217972695
2019-04,Services,Private,6.200210481519451
2019-04,Services,Pro,6.428726433958316
2019-05,Services,Private,6.154685052181822
2019-05,Services,Pro,6.400143248017101
2019-06,Services,Private,6.618102544162175
2019-06,Services,Pro,6.3797996802365695
2019-07,Services,Private,6.460127681945589
2019-07,Services,Pro,6.554576771564773
2019-08,Services,Private,6.479924906940677
2019-08,Services,Pro,6.774140164371605
2019-09,Services,Private,6.4894214630343585
2019-09,Services,Pro,6.715977352590349
2019-10,Services,Private,6.848976374390958
2019-10,Services,Pro,6.691740923236039
2019-11,Services,Private,6.531844100612571
2019-11,Services,Pro,6.655361226510271
2019-12,Services,Private,6.343449115303665
2019-12,Services,Pro,6.90638817670162
2020-01,Services,Private,6.131988883232685
2020-01,Services,Pro,6.66787892921787
2020-02,Services,Private,5.850774936582909
2020-02,Services,Pro,6.284615587159096
2020-03,Services,Private,5.787250614920489
2020-03,Services,Pro,6.269030691449131
2020-04,Services,Private,6.488902036255351
2020-04,Services,Pro,7.168082716806171
2020-05,Services,Private,7.227631699434334
2020-05,Services,Pro,7.127845944573842
2020-06,Services,Private,5.892804189550486
2020-06,Services,Pro,6.618335677109599
2020-07,Services,Private,5.895779448011667
2020-07,Services,Pro,6.175384649474916
2020-08,Services,Private,6.390278558538878
2020-08,Services,Pro,6.620963749487457
2020-09,Services,Private,5.897095302038431
2020-09,Services,Pro,6.196118939892893
2020-10,Services,Private,5.611355593083863
2020-10,Services,Pro,5.827669688656498
2020-11,Services,Private,5.9587875184833985
2020-11,Services,Pro,6.644648639722852
2020-12,Services,Private,6.016942407178625
2020-12,Services,Pro,6.6903404558426285
2021-01,Services,Private,5.6059882950087205
2021-01,Services,Pro,6.318577723206192
2021-02,Services,Private,5.477012426775755
2021-02,Services,Pro,6.304074016886022
2021-03,Services,Private,5.544199991036588
2021-03,Services,Pro,6.477882653123966
