"Year,month",vertical,seller_type,Avg_leads
2019-01,Jobs,Private,474.5669736549677
2019-01,Jobs,Pro,62365.259140762464
2019-02,Jobs,Private,345.11421937071424
2019-02,Jobs,Pro,58499.222181795645
2019-03,Jobs,Private,317.28666045812906
2019-03,Jobs,Pro,57199.66163506703
2019-04,Jobs,Private,212.85980191959996
2019-04,Jobs,Pro,55208.7046314818
2019-05,Jobs,Private,165.8139850507742
2019-05,Jobs,Pro,40197.38717508232
2019-06,Jobs,Private,159.0937184658
2019-06,Jobs,Pro,37548.4445638186
2019-07,Jobs,Private,473.7373111136129
2019-07,Jobs,Pro,60337.089796810455
2019-08,Jobs,Private,385.9116049501936
2019-08,Jobs,Pro,54529.452007326574
2019-09,Jobs,Private,245.6828323652
2019-09,Jobs,Pro,55332.280891629605
2019-10,Jobs,Private,153.1320004900645
2019-10,Jobs,Pro,48713.99168530994
2019-11,Jobs,Private,148.193532982
2019-11,Jobs,Pro,48602.82480631641
2019-12,Jobs,Private,205.1636941550323
2019-12,Jobs,Pro,51076.9891263087
2020-01,Jobs,Private,207.17858889832257
2020-01,Jobs,Pro,54037.343597082974
2020-02,Jobs,Private,576.2190265051034
2020-02,Jobs,Pro,54093.764736902696
2020-03,Jobs,Private,509.1757539514839
2020-03,Jobs,Pro,36264.075589739216
2020-04,Jobs,Private,227.80162921200002
2020-04,Jobs,Pro,12226.578840986
2020-05,Jobs,Private,301.286025732
2020-05,Jobs,Pro,29604.137323843555
2020-06,Jobs,Private,583.2211603803999
2020-06,Jobs,Pro,55647.6514266946
2020-07,Jobs,Private,643.7774273470644
2020-07,Jobs,Pro,50236.905368724154
2020-08,Jobs,Private,649.8449635044839
2020-08,Jobs,Pro,46736.26257019133
2020-09,Jobs,Private,752.3387850343333
2020-09,Jobs,Pro,50492.628963929965
2020-10,Jobs,Private,377.83101805983875
2020-10,Jobs,Pro,37089.22481850226
2020-11,Jobs,Private,169.88595017763333
2020-11,Jobs,Pro,33717.66612068783
2020-12,Jobs,Private,149.09643093229036
2020-12,Jobs,Pro,31326.95136573274
2021-01,Jobs,Private,164.22884221964517
2021-01,Jobs,Pro,28733.56295865171
2021-02,Jobs,Private,137.71132557903573
2021-02,Jobs,Pro,28131.060244605684
2021-03,Jobs,Private,217.83357880019355
2021-03,Jobs,Pro,29266.129168541192
