"Year,month",vertical,seller_type,Avg_leads
2019-01,Property,Private,112965.3456398266
2019-01,Property,Pro,134316.76144799276
2019-02,Property,Private,103610.41640502
2019-02,Property,Pro,123413.11004852656
2019-03,Property,Private,107290.00551157592
2019-03,Property,Pro,133284.08392513136
2019-04,Property,Private,107592.61049610264
2019-04,Property,Pro,131219.1723783989
2019-05,Property,Private,91436.21152839408
2019-05,Property,Pro,115132.44676172434
2019-06,Property,Private,85028.24647484739
2019-06,Property,Pro,108307.64000725247
2019-07,Property,Private,116455.06031154175
2019-07,Property,Pro,154211.94962391083
2019-08,Property,Private,111927.53412461722
2019-08,Property,Pro,140198.03273133942
2019-09,Property,Private,109182.11339175208
2019-09,Property,Pro,132496.2339731755
2019-10,Property,Private,104321.87040625974
2019-10,Property,Pro,137414.20728566535
2019-11,Property,Private,107160.225371551
2019-11,Property,Pro,148002.40375756752
2019-12,Property,Private,105309.87374361194
2019-12,Property,Pro,137489.20716650193
2020-01,Property,Private,106004.83294353992
2020-01,Property,Pro,132033.45005281444
2020-02,Property,Private,113349.9897530842
2020-02,Property,Pro,139520.93475519298
2020-03,Property,Private,77107.11454408844
2020-03,Property,Pro,99697.11596502407
2020-04,Property,Private,41736.85806085766
2020-04,Property,Pro,68512.876945896
2020-05,Property,Private,70881.36388822032
2020-05,Property,Pro,128540.76939834045
2020-06,Property,Private,103520.33658596726
2020-06,Property,Pro,182756.81338457184
2020-07,Property,Private,101182.54059819269
2020-07,Property,Pro,148170.18481453083
2020-08,Property,Private,97487.78447925029
2020-08,Property,Pro,144256.63374426606
2020-09,Property,Private,103230.72602987067
2020-09,Property,Pro,144361.98378336724
2020-10,Property,Private,85841.28259111878
2020-10,Property,Pro,123225.39593242315
2020-11,Property,Private,89002.80742619428
2020-11,Property,Pro,125554.9280797869
2020-12,Property,Private,89596.71358306883
2020-12,Property,Pro,137359.58031311177
2021-01,Property,Private,90078.90660409474
2021-01,Property,Pro,142821.3966740989
2021-02,Property,Private,90994.09808143298
2021-02,Property,Pro,142708.23975561082
2021-03,Property,Private,100210.09072126054
2021-03,Property,Pro,147449.7957914749
